Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
;;;;;;;
Nga?fànc?? (1/6);Gha?fànc??;M??nnt??n a? nk? mfa?' nt??m nkà?n nà;L?n;Le?gislateur;;;
Njà?b (1);;Mfu? nt? mbà? mfu? n??nà? bo? ku?'ni n?? f?d là;L?n;Le?gume;;;
N??fik?l? (adj);;Ma?d n?? fa?' ju k?? nànt??;;Lent;;;
Fik??d  (1);;L?n n?? lo?' mbe't? ma?d n?? fa?' ju k?? nànt?? yi;L?n;Lenteur;;;
N??fik?l? (1);;L?n n?? lo?' mbe't? ma?d n?? fa?' ju k?? nànt?? yi;L?n;Lenteur;;;
Nkin?(4);;Ngo?k?d z?? a? nk? nkwag nga?w?d nkà?g lo?' nu?m nku? mbà? mbu là;L?n;Le?pre;;;
Nga?nkin? (1/6);Gha?nkin?;M??nnt??n z?? nkin b?? nu?m i là;L?n;Le?preux;;;
D???gha?nkin(?) (1/6);;D?' bo? nk? nde?' b??nnt??n ts?? nki?n b?? nu?m bo là;L?n;Le?priserie;;;
Nda?mnj? (adv);; ;;Lendemain;;;
Là?g?wa??ni (5/4);Mià?g?wa??ni? ;;L?n;Lettre;;;
?wa??ni (1/6);;;L?n;Lettre;;;
Nca?? (1/6);;;L?n;Levain;;;
N?? b?? nsi (V);Mb?? nsi;;Mba?ncob?;Lever;;;
N?? lo?t? (V);ndo?t?;;Mba?ncob?;Lever;;;
N?? lo?nsi (V);Ndo?nsi;;Mba?ncob?;Lever;;;
N?? ko?o (V);Nko'o;;Mba?ncob?;Lever;;;
K??ku?bncu? (3/4);NK??ku?bncu? ;;L?n;Le?vre;;;
L?? (5/4);Nd??;;L?n;Liane;;;
Shudnyà?m (1/6);Nshudnyà?m;;L?n;Lie?vre;;;
Nk? (3/6);;;L?n;Lien;;;
Nga (3/6);;;L?n;Lien;;;
N?? kwul(?) (V);Nkwul(?);;Mba?ncob?;Lier;;;
N?? la?l? (V);Nda?l?;;Mba?ncob?;Lier;;;
N?? ta??(?) (V);Nta??(?);;Mba?ncob?;Lier;;;
D?? (3/6);;;L?n;Lieu;;;
D???zi?? (3/6);;;L?n;Lieu d?apprantissage;;;
D???beb (3/6);;;L?n;Lieu d?attente;;;
D???juà (3/6);;;L?n;Lieu de fe?te;;;
D???ka?? (3/6);;;L?n;Lieu de rendez-vous;;;
Nka (3/6);;;L?n;Ligne;;;
Nd? (3/6);;;L?n;Limite;;;
N?? t? nd? (V);Nt? nd?;;Mba?ncob?;Limiter;;;
K??b??n (adj);;;;Limpide;;;
N??làn(?) (adj);;;;Limpide;;;
Ngwà?yid (1/6);;;L?n;Lion;;;
Nyàmk??ma?? (1/6);;;L?n;Lion;;;
Nt??nts? (adj);;;;Liquide;;;
N?? sia?? (V);;;Mba?ncob?;Lire;;;
Kun(?) (5/4);Nkun(?);;L?n;Lit;;;
La?kunndà (adv);Ba?mkunndà;;;Lit (dessous);;;
Ko??nts? (1);;;L?n;Lit d?eau;;;
Nsints? (1);;;L?n;Lit d?eau;;;
Cu?kun(?) (6);Ju?kun(?);;L?n;Literie;;;
Bu??wa??ni? (5/4);Mbu??wa??ni?;;L?n;Livre;;;
Bu??wa??nic?? (1/6  ;Mbu??wa??ni?c??;;L?n;Livre (de contre);;;
Bu??wa??nink?d (5/4;Mbu??wa??ni?nk?d;;L?n;Livre (de proverbes);;;
N?? sw??n(?) (V);Nsw??n(?);;Mba?ncob?;Livrer;;;
N?? fà (V);Mfà;;Mba?ncob?;Livrer;;;
Kà?n (V);Nkà?n;;Mba?ncob?;Loi;;;
Nc?? (1/6);;;L?n;Loi;;;
N??sà? (adv);;;;Loin;;;
Ng?an??sà? (adv);;;;Loin;;;
N??sa?g? (1/6);Ns…g;;L?n;Long;;;
Nsà? (adj);;;;Long;;;
N??sa?g? (1/6);Ns…g;;L?n;Longueur;;;
Ts??ba?? (3/6);;;L?n;Lot (a? batir);;;
Ghamt?? (1/6);?amt?;;L?n;Louange ;;;
N?? ghamte (V);?amt?;;Mba?ncob?;Louer;;;
N?? cwi?i (V);Ncwi'i;;Mba?ncob?;Louer(location);;;
Sw?ncu? (1/6);Nsw??ncu?;;L?n;Loup;;;
N??l??l? (adj);;;;Lourd;;;
